,date,일산화탄소(CO),염화수소(HCl),황산화물(SO2),먼지(Dust),질소산화물(NOx)
0,2023-07-23,3.6131818181818187,3.191363636363637,0.07204545454545454,1.1347916666666666,11.70840909090909
1,2023-07-24,3.1159375000000002,3.2921875,0.1409375,1.086285714285714,13.127812500000001
2,2023-07-25,2.902727272727273,3.290227272727273,0.12136363636363635,1.1533333333333333,13.43568181818182
3,2023-07-26,3.0599999999999996,3.4136363636363636,0.18500000000000003,1.1610416666666667,14.10931818181818
4,2023-07-27,2.986222222222222,2.718,0.06133333333333334,1.1820833333333332,13.286
5,2023-07-28,3.0515555555555554,2.163111111111111,0.06822222222222223,1.1454166666666665,14.043111111111113
6,2023-07-29,3.6926086956521744,1.7032608695652176,0.14847826086956523,1.2118749999999998,13.103478260869565
7,2023-07-30,3.631333333333333,1.5439999999999998,0.18044444444444444,1.2854166666666667,12.684444444444443
8,2023-07-31,4.077058823529412,1.7511764705882353,0.468235294117647,1.309736842105263,12.29294117647059
9,2023-08-01,3.442954545454546,2.4499999999999997,0.3190909090909091,1.186875,12.109772727272725
10,2023-08-02,2.634318181818182,2.3754545454545455,0.15840909090909092,1.2039583333333332,13.091363636363637
11,2023-08-03,2.5320454545454543,2.51,0.11113636363636364,1.1500000000000001,14.325681818181817
12,2023-08-04,2.6453333333333333,2.5117777777777777,0.102,1.1035416666666666,13.535333333333334
13,2023-08-05,3.5886666666666667,2.8002222222222226,0.09400000000000001,1.1097916666666665,12.916222222222222
14,2023-08-06,3.9855555555555555,3.7944444444444443,0.152,1.0222916666666668,12.17422222222222
15,2023-08-07,3.4548275862068967,2.648965517241379,0.09172413793103448,1.1066666666666665,12.793448275862069
16,2023-08-08,3.51125,2.2093749999999996,0.1775,1.2437500000000001,12.299583333333333
17,2023-08-10,3.0501538461538455,2.641538461538462,0.04553846153846154,1.2519402985074628,15.039692307692308
18,2023-08-11,2.9139999999999997,2.752222222222222,0.07133333333333333,1.1472916666666668,12.586666666666666
19,2023-08-12,2.8,2.4023404255319147,0.047234042553191496,1.1277083333333333,13.694468085106383
20,2023-08-13,2.646136363636364,2.2893181818181816,0.0975,1.1133333333333333,14.457954545454545
21,2023-08-14,2.2861290322580645,2.6416129032258064,0.15000000000000002,1.0703125000000002,15.039354838709679
22,2023-08-15,2.3804545454545454,2.991818181818182,0.13318181818181818,1.0772916666666668,13.713636363636367
23,2023-08-16,2.742666666666667,3.0242222222222215,0.1726666666666667,1.0554166666666667,14.369333333333332
24,2023-08-17,3.032,3.0375555555555556,0.25533333333333336,1.0462500000000001,11.726666666666668
25,2023-08-18,2.9906818181818178,2.754318181818182,0.2538636363636364,0.999375,12.158181818181818
26,2023-08-19,3.026739130434783,2.9223913043478262,0.17543478260869566,0.8989583333333333,13.20326086956522
27,2023-08-20,2.7015217391304343,3.2030434782608697,0.13891304347826086,0.9072916666666667,13.290434782608695
28,2023-08-21,2.4678125,3.7775,0.146875,0.9320588235294118,13.2546875
29,2023-08-22,3.8881818181818177,4.297272727272728,0.17136363636363636,0.9608333333333334,13.08090909090909
30,2023-08-23,2.6822222222222223,4.338444444444444,0.11266666666666668,0.9831249999999999,13.624666666666666
31,2023-08-24,2.287111111111111,3.039777777777778,0.06244444444444445,1.0785416666666665,13.520222222222223
32,2023-08-25,2.0634090909090905,2.5352272727272727,0.2,1.1991666666666667,13.881363636363636
33,2023-08-26,1.7295555555555555,3.0275555555555558,0.1388888888888889,1.3264583333333333,14.458666666666666
34,2023-08-27,2.1542222222222223,3.442888888888889,0.09733333333333333,1.3572916666666668,13.627111111111113
35,2023-08-28,2.684705882352941,3.4747058823529406,0.1252941176470588,1.3147222222222221,12.62735294117647
36,2023-08-29,3.4214583333333337,2.9570833333333337,0.1025,1.2672916666666667,11.366875
37,2023-08-30,2.4647916666666667,2.640833333333333,0.09604166666666668,1.1170833333333334,13.450625
38,2023-08-31,2.1077083333333335,2.0429166666666667,0.14104166666666665,1.163125,12.527499999999998
39,2023-09-01,1.8097916666666667,1.9508333333333334,0.20375000000000001,1.0647916666666668,14.696041666666668
40,2023-09-02,2.0639583333333333,2.5262499999999997,0.19520833333333334,1.19125,14.542499999999999
41,2023-09-03,1.982083333333333,3.545833333333333,0.09604166666666665,1.2295833333333333,13.306458333333333
42,2023-09-04,2.2296153846153848,2.682,1.3514814814814813,1.2277777777777776,9.943703703703704
43,2023-09-05,2.9408333333333334,2.364347826086956,0.613125,1.2743749999999998,9.669375
44,2023-09-06,1.6449999999999998,1.4341666666666668,0.01,0.7633333333333333,7.762083333333333
45,2023-09-07,1.6877083333333331,1.1910416666666668,0.053541666666666675,0.8002083333333333,8.384791666666667
46,2023-09-08,1.5127083333333333,1.1604166666666667,0.05562500000000001,0.7895833333333333,9.36125
47,2023-09-09,1.5325,1.118125,0.02416666666666667,0.7452083333333333,8.127291666666666
48,2023-09-10,1.7060416666666665,1.118125,0.059166666666666666,0.75625,7.600833333333334
49,2023-09-11,2.0579411764705884,2.0838235294117644,0.1323529411764706,1.0476470588235296,11.255588235294118
50,2023-09-12,3.791818181818181,2.2029545454545456,0.23204545454545455,1.1566666666666665,13.301363636363636
51,2023-09-13,2.5417777777777775,2.099111111111111,0.025555555555555557,1.0839583333333334,14.131111111111114
52,2023-09-14,2.7344444444444442,2.1553333333333335,0.031111111111111114,1.095625,13.705333333333334
53,2023-09-15,2.6045833333333333,2.593541666666667,0.005208333333333333,1.003125,14.557291666666666
54,2023-09-16,2.3335416666666666,2.990625,0.036250000000000004,0.9227083333333334,15.3375
55,2023-09-17,2.829375,3.627916666666667,0.06458333333333334,1.009375,13.882916666666667
56,2023-09-18,2.3273529411764704,3.383823529411765,0.13970588235294118,0.9202941176470588,13.957058823529412
57,2023-09-19,2.4829166666666667,3.8704255319148944,0.07625,0.8795833333333333,13.603541666666667
58,2023-09-20,2.781458333333333,3.3662499999999995,0.024583333333333336,0.9520833333333333,14.25270833333333
59,2023-09-21,2.470625,3.165625,0.04125,1.0477083333333332,12.392291666666665
60,2023-09-22,2.2022916666666665,2.7925,0.07125,1.1552083333333334,13.007291666666665
61,2023-09-23,2.3208333333333333,2.66,0.07583333333333332,1.0252083333333335,14.996249999999998
62,2023-09-24,2.289375,2.953333333333333,0.04729166666666667,1.08625,14.131041666666667
63,2023-09-25,2.34375,3.3756250000000003,0.483125,1.0518181818181815,13.7034375
64,2023-09-26,4.056666666666667,4.093111111111111,0.07866666666666666,0.9791666666666666,12.66711111111111
65,2023-09-27,3.3327659574468083,3.103617021276596,0.024468085106382976,0.7681250000000001,8.052127659574468
66,2023-09-28,2.4847916666666667,2.1220833333333338,0.025833333333333333,0.54125,8.171041666666667
67,2023-09-29,2.1035416666666666,2.629166666666667,0.014166666666666666,0.540625,8.166666666666666
68,2023-09-30,3.4491666666666667,2.6220833333333333,0.03979166666666666,0.5872916666666667,7.4941666666666675
69,2023-10-01,2.1579166666666665,2.488541666666667,0.10416666666666667,0.6395833333333334,9.145416666666666
70,2023-10-02,3.3414583333333336,2.7266666666666666,0.06375,0.7160416666666666,7.813958333333333
71,2023-10-03,2.9764583333333334,2.2958333333333334,0.021041666666666667,0.6966666666666667,8.680416666666668
72,2023-10-04,3.3087500000000003,2.6850000000000005,0.090625,0.9512121212121212,9.93125
73,2023-10-05,4.195555555555556,3.2831111111111113,0.12000000000000001,1.224375,12.898
74,2023-10-06,3.8206521739130435,3.8336956521739136,0.0332608695652174,1.2616666666666667,13.343478260869563
75,2023-10-07,4.235681818181818,2.7352272727272724,0.2468181818181818,1.2927083333333333,12.32909090909091
76,2023-10-08,3.4004255319148933,2.4574468085106385,0.015957446808510637,1.28875,13.247872340425529
77,2023-10-09,2.6091304347826085,2.707608695652174,0.013260869565217392,1.3120833333333335,12.888695652173913
78,2023-10-10,2.5503125,3.2281250000000004,0.2575,1.2116666666666667,14.0684375
79,2023-10-11,1.8424999999999998,2.911363636363636,0.07590909090909091,1.0333333333333334,14.81090909090909
80,2023-10-12,1.8128888888888892,1.632,0.07111111111111111,1.1985416666666666,15.719111111111111
81,2023-10-13,1.8722222222222222,1.5075555555555555,0.11888888888888888,1.1770833333333333,14.821555555555555
82,2023-10-14,1.8229787234042554,1.6723404255319148,0.03340425531914894,1.170625,14.254468085106383
83,2023-10-15,2.1559574468085105,2.0442553191489363,0.11404255319148937,1.1033333333333333,13.977021276595744
84,2023-10-16,2.432058823529412,2.177058823529412,0.3267647058823529,1.1628571428571428,13.621176470588235
85,2023-10-17,2.3721739130434782,2.1256521739130436,0.08978260869565217,1.1633333333333333,15.528260869565216
86,2023-10-18,2.0882978723404255,1.969787234042553,0.13425531914893618,1.1591666666666667,15.258936170212767
87,2023-10-19,2.107659574468085,1.4844680851063832,0.4025531914893616,1.1187500000000001,14.65872340425532
88,2023-10-20,1.9295744680851064,1.5168085106382978,0.10914893617021276,1.1533333333333333,15.134468085106382
